6.6e-11	1.58333e-11
6e-11	1.55556e-11
1.5e-11	1.11111e-11
2e-11	1.2e-11
8.6e-11	1.65517e-11
6.7e-11	1.58763e-11
1e-11	1e-11
1e-10	1.69231e-11
8.5e-11	1.65217e-11
4.2e-11	1.44444e-11
8e-12	9.47368e-12
9.4e-11	1.67742e-11
3.4e-11	1.375e-11
4e-11	1.42857e-11
5.5e-11	1.52941e-11
9.8e-11	1.6875e-11
7.2e-11	1.60784e-11
8.8e-11	1.66102e-11
3.8e-11	1.41176e-11
7.1e-11	1.60396e-11
4e-11	1.42857e-11
3.3e-11	1.36508e-11
3.9e-11	1.42029e-11
3.6e-11	1.39394e-11
9.2e-11	1.67213e-11
6.7e-11	1.58763e-11
7.9e-11	1.63303e-11
9.4e-11	1.67742e-11
2.3e-11	1.24528e-11
7.7e-11	1.62617e-11
6.3e-11	1.56989e-11
3.3e-11	1.36508e-11
2.3e-11	1.24528e-11
9.4e-11	1.67742e-11
8.4e-11	1.64912e-11
2.5e-11	1.27273e-11
3.8e-11	1.41176e-11
2.5e-11	1.27273e-11
7.2e-11	1.60784e-11
2.2e-11	1.23077e-11
3.2e-11	1.35484e-11
7e-12	9.18919e-12
6e-12	8.88889e-12
8.4e-11	1.64912e-11
1e-12	7.09677e-12
8.1e-11	1.63964e-11
6.9e-11	1.59596e-11
3e-11	1.33333e-11
7.7e-11	1.62617e-11
5.9e-11	1.55056e-11
8.9e-11	1.66387e-11
6.3e-11	1.56989e-11
8.8e-11	1.66102e-11
6.3e-11	1.56989e-11
2.2e-11	1.23077e-11
7.2e-11	1.60784e-11
7.5e-11	1.61905e-11
5.3e-11	1.51807e-11
8.6e-11	1.65517e-11
6.7e-11	1.58763e-11
1.2e-11	1.04762e-11
3.8e-11	1.41176e-11
9.2e-11	1.67213e-11
8.9e-11	1.66387e-11
4.3e-11	1.45205e-11
2.8e-11	1.31034e-11
3e-12	7.87879e-12
8.3e-11	1.64602e-11
8.6e-11	1.65517e-11
8.9e-11	1.66387e-11
8.8e-11	1.66102e-11
9.2e-11	1.67213e-11
8.7e-11	1.65812e-11
7.4e-11	1.61538e-11
4.1e-11	1.43662e-11
9e-12	9.74359e-12
1.7e-11	1.14894e-11
5.3e-11	1.51807e-11
8.8e-11	1.66102e-11
1e-11	1e-11
5e-11	1.5e-11
4e-12	8.23529e-12
1.5e-11	1.11111e-11
7.9e-11	1.63303e-11
9.5e-11	1.68e-11
9.9e-11	1.68992e-11
7.6e-11	1.62264e-11
5e-12	8.57143e-12
8.4e-11	1.64912e-11
9e-12	9.74359e-12
8e-12	9.47368e-12
7.3e-11	1.61165e-11
7.5e-11	1.61905e-11
9.7e-11	1.68504e-11
6.9e-11	1.59596e-11
3.6e-11	1.39394e-11
