6.582763481079256011e-11	1.583330000000000040e-11
5.963888121717962439e-11	1.555559999999999887e-11
1.479622486400887247e-11	1.111109999999999938e-11
1.982555445232294148e-11	1.200000000000000057e-11
8.612945500053355044e-11	1.655169999999999944e-11
6.717474690197196882e-11	1.587630000000000092e-11
9.821890605633569106e-12	9.999999999999999395e-12
1.007210707088630624e-10	1.692310000000000086e-11
8.559248331961384244e-11	1.652170000000000058e-11
4.346052653525648102e-11	1.444439999999999932e-11
7.935728614962530981e-12	9.473680000000000482e-12
9.371338775091501475e-11	1.677419999999999854e-11
3.431667615518737861e-11	1.374999999999999937e-11
4.087091469754145591e-11	1.428569999999999920e-11
5.459021056474197673e-11	1.529410000000000124e-11
9.793760624934266223e-11	1.687499999999999989e-11
7.179596854074064468e-11	1.607840000000000144e-11
8.829143367510277805e-11	1.661020000000000045e-11
3.870233842587659936e-11	1.411759999999999954e-11
7.063032404510334019e-11	1.603959999999999882e-11
4.058200030181191158e-11	1.428569999999999920e-11
3.334364589222713166e-11	1.365080000000000076e-11
3.868364387703235041e-11	1.420290000000000040e-11
3.535799946127829249e-11	1.393940000000000016e-11
9.247338353528299797e-11	1.672129999999999904e-11
6.623007982981717389e-11	1.587630000000000092e-11
7.838348556276703749e-11	1.633029999999999879e-11
9.328539670255411768e-11	1.677419999999999854e-11
2.444701180227991402e-11	1.245280000000000041e-11
7.692512757528875916e-11	1.626169999999999966e-11
6.299095723541066217e-11	1.569889999999999968e-11
3.288751734077866049e-11	1.365080000000000076e-11
2.314474412629676207e-11	1.245280000000000041e-11
9.428290555409746667e-11	1.677419999999999854e-11
8.415460338755169720e-11	1.649120000000000065e-11
2.397939244258331190e-11	1.272729999999999970e-11
3.736323620102683615e-11	1.411759999999999954e-11
2.472833873110103025e-11	1.272729999999999970e-11
7.239935308253155605e-11	1.607840000000000144e-11
2.116531707762990288e-11	1.230769999999999935e-11
3.173098565329290443e-11	1.354839999999999991e-11
6.867614744357319568e-12	9.189190000000000349e-12
6.251295424752302234e-12	8.888890000000000104e-12
8.493213502990567700e-11	1.649120000000000065e-11
1.138969132197759399e-12	7.096769999999999860e-12
8.056271240403008161e-11	1.639639999999999908e-11
